"id";"titles";"price"
414;"Chinese Brush Painting Workstation Book - Brand New";"$30"
415;"Dore Gallery";"$30"
416;"The History of Herodotus";"$30"
417;"Camera Arts magazine - early editions";"$30"
418;"Vintage German Berthold Auerbach-Barf\xc3\xbc\xc3\x9fele (Barefoot)  1940&#39;s";"$30"
419;"Gerald Durrell set of 3 Vintage Books 70&#39;s";"$30"
420;"The Mammoth Book of Historical and More Whodunnits  Ellis Peters";"$15"
421;"Mrs. Caldwell&#39;s Cook Book Hardcover - 1925";"$15"
422;"North By Northeast - Ellis Ray and Walter Cronkite 1986";"$5"
423;"RARE Howard Pyle: The Artist and His Legacy Delaware Art Museum";"$5"
424;"Isak Dinesen WINTER&#39;S TALES, LAST TALES (First Vintage Books Ed.)";"$0"
425;"unique hand made pottery/artifacts/etc.";"$0"
426;"The Italian Vest Pocket Dictionary by Robert Hall jr. 1957";"$0"
427;"Rare! BOOK OF SAUCES by Senn, C. Herman 1915";"$20"
428;"The Collected Tales of Pierre Louys";"$20"
429;"Murs et Toits-Pour Les Pays De Chez Nous";"$25"
430;"New and Collected Poems by Archibald MacLeish";"$25"
431;"Orlando Furioso";"$25"
432;"L\xe2\x80\x99Ornement Polychrome";"$25"
433;"Picturesque Egypt";"$25"
434;"Picturesque Palestine";"$25"
435;"Silva - A Discourse on Trees";"$3"
436;"The Life of Jesus Christ";"$3"
437;"I Rise In Flame Cried The Phoenix.";"$25"
438;"Turner Gallery";"$25"
439;"Petite Edifices Historic";"$125"
440;"NANCY DREW MYSTERY BOOKS";"$125"
441;"Spain";"$0"
442;"Collins Gem Spanish Dictionary,  HarperCollins 2000";"$5"
443;"Details of Gothic Architecture";"$5"
444;"A HANDBOOK OF MUSICAL KNOWLEDGE, PART 1: RUDIMENTS OF MUSIC";"$30"
445;"Set of 3 Business Marketing Research Books 1961-1972 RARE";"$30"
446;"Dictionaries De L\xe2\x80\x99Ameublement";"$1"
447;"The Vatican-Its History and Treasures";"$1"
448;"The Art Journal";"$20"
449;"Petersburg  Andrei Bely, Robert Maguire, John E. Malmstad 1978";"$20"
450;"Tales of Mystery and Imagination";"$5"
451;"1950&#39;s Italian cookbooks";"$5"
452;"Moby  Dick";"$0"
453;"John F. Kennedy books";"$0"
454;"Pet Tisic Let Sklarskeho Dila";"$13"
455;"Tabular Anatomicae ( De Formato Foetu Tabulae )";"$13"
456;"Missae In Agenda Defunctorum Tantum Deferventes Ex Missali Romano";"$20"
457;"Don Quixote of La Mancha";"$20"
458;"Ranch Life and The Hunting Trail";"$16"
459;"Schiller Gallery";"$16"
460;"The U.S. Army and Navy 1776-1899";"$29"
461;"Masterpieces of French Art";"$29"
462;"The Rudolph Kann Collection";"$29"
